Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Disraeli,1929,Alfred E. Green,"['History', 'Drama']",nan,2.92,90,['USA'],English,['English'],1028,2759,68,"['George Arliss', 'Doris Lloyd', 'David Torrence', 'Joan Bennett', 'Florence Arliss', 'Anthony Bushell', 'Michael Visaroff', 'Ivan F. Simpson', 'Gwendolyn Logan', 'Charles E. Evans', 'Cosmo Kyrle Bellew', 'Margaret Mann']","['The Vitaphone Corporation', 'Warner Bros. Pictures']",https://letterboxd.com//film/disraeli/
The Divorcee,1930,Robert Z. Leonard,"['Romance', 'Drama']",nan,3.31,84,['USA'],English,['English'],4505,4732,766,"['Norma Shearer', 'Chester Morris', 'Conrad Nagel', 'Robert Montgomery', 'Florence Eldridge', 'Helene Millard', 'Robert Elliott', 'Mary Doran', 'Tyler Brooke', 'Zelda Sears', 'George Irving', 'Judith Wood', 'Theodore von Eltz', 'Carl Stockdale', 'Neal Dodd']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/the-divorcee-1930/
The Love Parade,1929,Ernst Lubitsch,"['Romance', 'Comedy']",nan,3.44,107,['USA'],English,"['English', 'French']",3672,4698,622,"['Maurice Chevalier', 'Jeanette MacDonald', 'Lupino Lane', 'Lillian Roth', 'Eugene Pallette', 'E.H. Calvert', 'Edgar Norton', 'Lionel Belmore', 'Virginia Bruce', 'Jean Harlow', ""Yola d'Avril"", 'Ben Turpin']",['Paramount'],https://letterboxd.com//film/the-love-parade/
Cimarron,1931,Wesley Ruggles,"['History', 'Western', 'Drama']",3,2.45,123,['USA'],English,"['English', 'French']",6429,9640,298,"['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil"", 'William Collier Jr.', 'Roscoe Ates', 'George E. Stone', 'Stanley Fields', 'Robert McWade', 'Edna May Oliver', 'Judith Barrett', 'Eugene Jackson', 'Max Barwyn', 'Heinie Conklin', 'Edith Fellows', 'Otto Hoffman', 'William Janney', 'Bob Kortman', 'Frank Lackteen', 'Ethan Laidlaw', ""Dennis O'Keefe"", 'Helen Parrish', 'Carl Stockdale', 'Arthur Tovey', 'Hank Potts']",['RKO Radio Pictures'],https://letterboxd.com//film/cimarron/
East Lynne,1931,Frank Lloyd,['Drama'],nan,3.08,102,['USA'],English,['English'],416,1683,28,"['Ann Harding', 'Clive Brook', 'Conrad Nagel', 'Cecilia Loftus', 'Beryl Mercer', 'O. P. Heggie', 'Flora Sheffield', 'David Torrence', 'Wally Albright', 'Ronnie Cosby', 'Eric Mayne']",['Fox Film Corporation'],https://letterboxd.com//film/east-lynne/
The Front Page,1931,Lewis Milestone,"['Comedy', 'Drama', 'Crime', 'Romance']",nan,3.28,101,['USA'],English,['English'],4297,4943,576,"['Pat O’Brien', 'Adolphe Menjou', 'Mary Brian', 'Edward Everett Horton', 'Walter Catlett', 'George E. Stone', 'Mae Clarke', 'Slim Summerville', 'Matt Moore', 'Frank McHugh', 'Clarence Wilson', 'Fred Howard', 'Phil Tead', 'Eugene Strong', 'Spencer Charters', 'Maurice Black', 'Effie Ellsler', 'Dorothea Wolbert', 'James Gordon', 'Herman J. Mankiewicz']",['The Caddo Company'],https://letterboxd.com//film/the-front-page/
Skippy,1931,Norman Taurog,"['Family', 'Comedy', 'Drama']",nan,3.22,85,['USA'],English,['English'],857,2571,101,"['Jackie Cooper', 'Robert Coogan', 'Mitzi Green', 'Jackie Searl', 'Willard Robertson', 'Enid Bennett', 'Donald Haines', 'Helen Jerome Eddy', 'Beaudine Anderson', 'Dannie Mac Grant', 'Douglas Haig', 'Payne B. Johnson', 'Buddy McDonald', 'Carl R. Botefuhr', 'Jack Rube Clifford', 'Guy Oliver']",['Paramount'],https://letterboxd.com//film/skippy-1931/
Trader Horn,1931,W.S. Van Dyke,"['Adventure', 'Action']",nan,2.79,122,['USA'],English,['English'],651,1977,46,"['Harry Carey', 'Edwina Booth', 'Duncan Renaldo', 'Mutia Omoolu', 'Olive Carey', 'C. Aubrey Smith', 'Riano Tindama']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/trader-horn/
Arrowsmith,1931,John Ford,['Drama'],nan,3.2,108,['USA'],English,"['English', 'Italian', 'Swedish']",1727,2708,185,"['Ronald Colman', 'Helen Hayes', 'Richard Bennett', 'A.E. Anson', 'Clarence Brooks', 'Alec B. Francis', 'Claude King', 'Bert Roach', 'Myrna Loy', 'Russell Hopton', 'David Landau', 'Lumsden Hare', 'Erville Alderson', 'Ward Bond', 'Beulah Bondi', 'Florence Britton', 'Nora Cecil', 'Sidney De Gray', 'Cyril Delevanti', 'Walter Downing', 'Gibson Gowland', 'Sherry Hall', 'Theresa Harris', 'Raymond Hatton', 'Charlotte Henry', 'George Humbert', 'DeWitt Jennings', 'Mike Lally', 'Lillian Lawrence', 'Carl M. Leviness', 'James A. Marcus', 'Eric Mayne', 'Kendall McComas', 'Edmund Mortimer', 'John Qualen', 'Edward Reinach', 'Milton Royce', 'Harry Schultz', 'Pat Somerset', 'Adele Watson', 'Bobby Watson', 'Eric Wilton']","['Samuel Goldwyn Productions', 'Howard Productions']",https://letterboxd.com//film/arrowsmith/
Bad Girl,1931,Frank Borzage,"['Drama', 'Romance']",nan,3.37,90,['USA'],English,['English'],1814,3298,277,"['James Dunn', 'Sally Eilers', 'Minna Gombell', 'Frank Austin', 'Irving Bacon', 'Jesse De Vorska', 'Paul Fix', 'Sarah Padden']",['Fox Film Corporation'],https://letterboxd.com//film/bad-girl/
The Champ,1931,King Vidor,['Drama'],nan,3.62,86,['USA'],English,['English'],3842,5086,776,"['Wallace Beery', 'Jackie Cooper', 'Irene Rich', 'Roscoe Ates', 'Edward Brophy', 'Hale Hamilton', 'Jesse Scott', 'Marcia Mae Jones', 'Dannie Mac Grant', 'Frank Hagney', 'Dell Henderson', 'Tom McGuire', 'Bob Perry', 'Lee Phelps', 'Andy Shuford', 'Dan Tobey']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/the-champ/
Five Star Final,1931,Mervyn LeRoy,"['Drama', 'Crime']",nan,3.57,89,['USA'],English,['English'],1977,2768,386,"['Edward G. Robinson', 'Marian Marsh', 'H.B. Warner', 'Anthony Bushell', 'George E. Stone', 'Frances Starr', 'Ona Munson', 'Boris Karloff', 'Aline MacMahon', 'Oscar Apfel', 'Purnell Pratt', 'Robert Elliott', 'Polly Walters', 'James P. Burtis', 'Richard Carlyle', 'Frank Darien', 'James Donlan', 'Evelyn Hall', 'Gladys Lloyd', 'Arnold Lucy', 'Franklin Parker', 'William H. Strauss', 'David Torrence', 'Harold Waldridge', 'Jack Wise']","['The Vitaphone Corporation', 'First National Pictures']",https://letterboxd.com//film/five-star-final/
Grand Hotel,1932,Edmund Goulding,"['Romance', 'Drama']",4,3.53,112,['USA'],English,['English'],20283,15108,3771,"['Greta Garbo', 'John Barrymore', 'Joan Crawford', 'Wallace Beery', 'Lionel Barrymore', 'Lewis Stone', 'Jean Hersholt', 'Robert McWade', 'Purnell Pratt', 'Ferdinand Gottschalk', 'Rafaela Ottiano', 'Morgan Wallace', 'Tully Marshall', 'Frank Conroy', 'Murray Kinnell', 'Edwin Maxwell', 'Mary Carlisle', 'John Davidson', 'Allen Jenkins', 'Eric Mayne', 'Philo McCullough', 'Greta Meyer', 'Bert Moorhouse', 'Sarah Padden', 'Bodil Rosing', 'Leo White', 'Joan Barclay', 'Max Barwyn', 'Edward Biby', 'Oliver Cross', 'Wally Dean']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/grand-hotel/
One Hour with You,1932,Ernst Lubitsch,"['Comedy', 'Romance']",nan,3.5,80,['USA'],English,['English'],4874,5211,1070,"['Maurice Chevalier', 'Jeanette MacDonald', 'Genevieve Tobin', 'Charles Ruggles', 'Roland Young', 'Josephine Dunn', 'Richard Carle', 'Barbara Leonard', 'George Barbier', 'Lita Chevret', 'Sheila Bromley', 'Charles Judels', 'Mae Questel', 'Bess Flowers', 'Jack Byron', 'Jack Chefe', 'Charles Coleman', 'George Davis', 'Bill Elliott', 'Jack Ford', 'Florine McKinney', 'Donald Novis', 'Léonie Pray', 'Pat Somerset', 'Kent Taylor', 'Eric Wilton']",['Paramount'],https://letterboxd.com//film/one-hour-with-you/
Shanghai Express,1932,Josef von Sternberg,"['Romance', 'Adventure', 'Drama']",nan,3.71,82,['USA'],English,"['English', 'Cantonese', 'French', 'German']",25714,17952,6236,"['Marlene Dietrich', 'Clive Brook', 'Anna May Wong', 'Warner Oland', 'Eugene Pallette', 'Lawrence Grant', 'Louise Closser Hale', 'Gustav von Seyffertitz', 'Émile Chautard', 'George Blagoi', 'Leonard Carey', 'George Chung', 'Wong Chung', 'Jack Deery', 'Herbert Evans', 'Willie Fung', 'Tom Gubbins', 'Forrester Harvey', 'Claude King', 'James B. Leong', 'Miki Morita', 'Minoru Nishida', 'Victor Wong', 'Ura Mita']",['Paramount'],https://letterboxd.com//film/shanghai-express/
The Smiling Lieutenant,1931,Ernst Lubitsch,"['Comedy', 'Romance']",nan,3.61,89,['USA'],English,"['English', 'French']",5747,4855,1395,"['Maurice Chevalier', 'Claudette Colbert', 'Miriam Hopkins', 'Charles Ruggles', 'George Barbier', ""Hugh O'Connell"", 'Maude Allen', 'Granville Bates', 'Harry C. Bradley', 'Carrie Daumery', 'Ludwig Heinsich', 'Cornelius MacSunday', 'Elizabeth Patterson', 'Janet Reade', 'Werner Saxtorph', 'Karl Stall', 'Robert Strange', 'Charles Wagenheim']",['Paramount'],https://letterboxd.com//film/the-smiling-lieutenant/
A Farewell to Arms,1932,Frank Borzage,"['Drama', 'Romance', 'War']",nan,3.36,89,['USA'],English,['English'],7509,5738,1173,"['Helen Hayes', 'Gary Cooper', 'Adolphe Menjou', 'Mary Philips', 'Jack La Rue', 'Blanche Friderici', 'Mary Forbes', 'Gilbert Emery', 'Henry Armetta', 'Herman Bing', 'Agostino Borgato', 'Marcelle Corday', 'Gino Corrado', 'William Irving', 'Doris Lloyd']",['Paramount'],https://letterboxd.com//film/a-farewell-to-arms/
Cavalcade,1933,Frank Lloyd,"['War', 'Drama']",3.5,2.57,112,['USA'],English,['English'],5662,9346,281,"['Diana Wynyard', 'Clive Brook', ""Una O'Connor"", 'Herbert Mundin', 'Beryl Mercer', 'Irene Browne', 'Tempe Pigott', 'Merle Tottenham', 'Frank Lawton', 'Ursula Jeans', 'Margaret Lindsay', 'John Warburton', 'Billy Bevan', 'Dickie Henderson', 'Douglas Scott', 'Bonita Granville', 'Betty Grable']",['Fox Film Corporation'],https://letterboxd.com//film/cavalcade/
42nd Street,1933,Lloyd Bacon,"['Comedy', 'Drama', 'Romance']",4,3.55,89,['USA'],English,['English'],19589,15160,3767,"['Warner Baxter', 'Bebe Daniels', 'George Brent', 'Ruby Keeler', 'Guy Kibbee', 'Una Merkel', 'Ginger Rogers', 'Ned Sparks', 'Dick Powell', 'Allen Jenkins', 'Edward Nugent', 'Robert McWade', 'George E. Stone', 'Toby Wing', 'Louise Beavers', 'Charles Lane', 'Wallis Clark', 'Tom Kennedy', 'Harry Akst', 'George Irving', 'Clarence Nordstrum', 'Jack La Rue', 'Henry B. Walthall', 'Jayne Shadduck', 'Lyle Talbot', 'Dorothy Coonan Wellman', ""Dennis O'Keefe""]",['Warner Bros. Pictures'],https://letterboxd.com//film/42nd-street/
I Am a Fugitive from a Chain Gang,1932,Mervyn LeRoy,"['Crime', 'Drama']",4.5,4.05,92,['USA'],English,['English'],13900,12620,3539,"['Paul Muni', 'Glenda Farrell', 'Helen Vinson', 'Noel Francis', 'Preston Foster', 'Allen Jenkins', 'Berton Churchill', 'Edward Ellis', 'David Landau', 'Hale Hamilton', 'Sally Blane', 'Louise Carter', 'Everett Brown', 'Willard Robertson', 'Robert McWade', 'Robert Warwick', 'William Le Maire', 'Charles Middleton', ""Dennis O'Keefe"", 'Wallis Clark', 'Erville Alderson', 'Irving Bacon', 'Reginald Barlow', 'James Bell', 'Frederick Burton', 'A.S. Byron', 'Charles McAvoy', 'Eddy Chandler', 'G. Pat Collins', 'George Cooper', 'Jack Curtis', 'Harry Woods', 'John Marston', 'Douglass Dumbrille', 'J. Frank Glendon', 'Lee Shumway', 'Lew Kelly', 'Jack La Rue', 'Edward LeSaint', 'Walter Long', 'Jack Low', 'Edward McNamara', 'William Pawley', 'Charles Sellon', 'Allen D. Sewall', 'William H. Strauss', 'Sheila Terry', ""Fred 'Snowflake' Toones"", 'Jack Wise', 'John Wray']","['Warner Bros. Pictures', 'The Vitaphone Corporation']",https://letterboxd.com//film/i-am-a-fugitive-from-a-chain-gang/
Lady for a Day,1933,Frank Capra,"['Comedy', 'Drama']",nan,3.57,96,['USA'],English,['English'],3377,3997,572,"['Warren William', 'May Robson', 'Guy Kibbee', 'Glenda Farrell', 'Ned Sparks', 'Walter Connolly', 'Jean Parker', 'Nat Pendleton', 'Barry Norton', 'Halliwell Hobbes', 'Hobart Bosworth', ""Robert Emmett O'Connor"", 'Irving Bacon', 'Ward Bond', 'Harry C. Bradley', 'Wallis Clark', 'George Cooper', 'Jay Eaton', 'Julia Griffith', 'Chuck Hamilton', 'Forrester Harvey', 'Samuel S. Hinds', 'Frank Holliday', 'Lew Kelly', 'Milton Kibbee', 'Marc Lawrence', 'Edward LeSaint', 'Tom London', 'Charles McAvoy', 'Miki Morita', 'Harry Tenbrook', 'Leo White']",['Columbia Pictures'],https://letterboxd.com//film/lady-for-a-day/
Little Women,1933,George Cukor,"['Drama', 'Family']",nan,3.46,115,['USA'],English,"['English', 'German']",10695,7495,1830,"['Katharine Hepburn', 'Joan Bennett', 'Paul Lukas', 'Edna May Oliver', 'Jean Parker', 'Frances Dee', 'Henry Stephenson', 'Douglass Montgomery', 'John Lodge', 'Spring Byington', 'Samuel S. Hinds', 'Mabel Colcord', 'Marion Ballou', 'Nydia Westman', 'Harry Beresford', 'Bonita Granville', 'Olin Howland', 'Marilyn Knowlden', 'June Filmer']",['RKO Radio Pictures'],https://letterboxd.com//film/little-women/
The Private Life of Henry VIII,1933,Alexander Korda,"['Drama', 'History']",nan,3.43,90,['UK'],English,['English'],4357,5342,704,"['Charles Laughton', 'Robert Donat', 'Franklin Dyall', 'Miles Mander', 'Laurence Hanray', 'William Austin', 'John Loder', 'Claud Allister', 'Gibb McLaughlin', 'Sam Livesey', 'Merle Oberon', 'Wendy Barrie', 'Elsa Lanchester', 'Binnie Barnes', 'Everley Gregg', 'Lady Tree', 'Frederick Culley', 'Mark Daly', 'Toni Edgar-Bruce', 'Annie Esmond', 'William Heughan', 'Arthur Howard', 'Judy Kelly', 'Wally Patch', 'Hay Petrie', 'Terry-Thomas', 'John Turnbull']","['London Films Productions', 'United Artists']",https://letterboxd.com//film/the-private-life-of-henry-viii/
She Done Him Wrong,1933,Lowell Sherman,"['Crime', 'Comedy']",nan,3.12,66,['USA'],English,['English'],11716,9273,1719,"['Mae West', 'Cary Grant', 'Owen Moore', 'Gilbert Roland', 'Noah Beery', 'David Landau', 'Rafaela Ottiano', 'Dewey Robinson', 'Rochelle Hudson', 'Tammany Young', 'Fuzzy Knight', 'Grace La Rue', 'Robert Homans', 'Louise Beavers', 'Ernie Adams', 'Billy Bletcher', 'Wade Boteler', 'Jack Carr', 'Heinie Conklin', 'Mike Donlin', 'James Eagles', 'Fern Emmett', 'Harold Entwistle', 'Mary Gordon', 'Aggie Herring', 'Al Hill', 'Arthur Housman', 'Tom Kennedy', 'Lee Kohlmar', 'Michael Mark', 'Tom McGuire', 'Frank Mills', 'Frank Moran', 'Lee Phelps', 'Fred Santley', 'Billy B. Van', 'Ellinor Vanderveer', 'Harry Wallace', 'Harry Warren', 'Leo White', 'Florence Wix']",['Paramount'],https://letterboxd.com//film/she-done-him-wrong/
Smilin' Through,1932,Sidney Franklin,"['Drama', 'Romance']",nan,3.38,98,['USA'],English,['English'],1370,2276,274,"['Norma Shearer', 'Fredric March', 'Leslie Howard', 'O. P. Heggie', 'Ralph Forbes', 'Beryl Mercer', 'Margaret Seddon', 'Forrester Harvey', 'Herbert Bunston', 'James Bush', 'Mary Carlisle', 'Cora Sue Collins', 'Claude King', 'David Torrence']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/smilin-through/
State Fair,1933,Henry King,"['Drama', 'Romance', 'Comedy']",nan,3.37,97,['USA'],English,['English'],1442,2717,242,"['Janet Gaynor', 'Will Rogers', 'Lew Ayres', 'Sally Eilers', 'Norman Foster', 'Louise Dresser', 'Frank Craven', 'Victor Jory', 'Frank Melton', 'Hobart Cavanaugh', 'Doro Merande', 'Erville Alderson', 'Joe Caits', 'Judge Dike', 'Harry Holman', 'Edward Mundy', 'John Sheehan', 'Lucille Ward', 'Ruth Warren']",['Fox Film Corporation'],https://letterboxd.com//film/state-fair/
The Barretts of Wimpole Street,1934,Sidney Franklin,"['Drama', 'Romance']",nan,3.3,109,['USA'],English,['English'],1501,2512,239,"['Norma Shearer', 'Fredric March', 'Charles Laughton', ""Maureen O'Sullivan"", 'Katharine Alexander', 'Ralph Forbes', 'Ian Wolfe', 'Marion Clayton Anderson', 'Leo G. Carroll', 'Ferdinand Munier', ""Una O'Connor"", 'Vernon Downing', 'Neville Clark', 'Matthew Smith', 'Robert Carleton', 'Allan Conrad', 'Peter Hobbes', 'Flush']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/the-barretts-of-wimpole-street/
Cleopatra,1934,Cecil B. DeMille,"['Romance', 'History', 'Drama']",nan,3.38,100,['USA'],English,['English'],5070,5078,820,"['Claudette Colbert', 'Warren William', 'Henry Wilcoxon', 'Joseph Schildkraut', 'Ian Keith', 'Gertrude Michael', 'C. Aubrey Smith', 'Irving Pichel', 'Arthur Hohl', 'Edwin Maxwell', 'Ian Maclaren', 'Eleanor Phelps', 'Leonard Mudie', 'Grace Durkin', 'Ferdinand Gottschalk', 'Claudia Dell', 'Harry Beresford', 'Jayne Regan', 'William Farnum', 'Lionel Belmore', 'Florence Roberts', 'Richard Alexander', 'Celia Ryland', 'William V. Mong', 'Robert Warwick', 'George Walsh', 'Kenneth Gibson', 'Wedgwood Nowell', 'Bruce Warren', 'Robert Seiter', 'Edgar Dearing', 'John Carradine', 'Wilfred Lucas', 'David Niven', 'Olga Celeste']",['Paramount'],https://letterboxd.com//film/cleopatra-1934/
Flirtation Walk,1934,Frank Borzage,"['Romance', 'Music']",nan,3.0,97,['USA'],English,['English'],687,1889,35,"['Dick Powell', 'Ruby Keeler', 'Pat O’Brien', 'Ross Alexander', 'John Arledge', 'John Eldredge', ""Henry O'Neill"", 'Guinn ""Big Boy"" Williams', 'Frederick Burton', 'John Darrow', 'Glen Boles', 'Tyrone Power', 'Dick Winslow', 'Shep Houghton', 'Carlyle Blackwell Jr.', 'Mary Russell']",['First National Pictures'],https://letterboxd.com//film/flirtation-walk/
The Gay Divorcee,1934,Mark Sandrich,"['Romance', 'Comedy']",nan,3.51,107,['USA'],English,"['English', 'French', 'Italian']",9427,6615,1952,"['Fred Astaire', 'Ginger Rogers', 'Alice Brady', 'Edward Everett Horton', 'Erik Rhodes', 'Eric Blore', 'Lillian Miles', 'Charles Coleman', 'William Austin', 'Betty Grable', 'E. E. Clive', 'Paul Porcasi', 'Norman Ainsley', 'Jimmy Aubrey', 'Finis Barton', 'Eleanor Bayley', 'De Don Blunier', 'Jack Chefe', 'Cy Clegg', 'Larry Steers']",['RKO Radio Pictures'],https://letterboxd.com//film/the-gay-divorcee/
Here Comes the Navy,1934,Lloyd Bacon,"['War', 'Drama']",nan,3.06,87,['USA'],English,['English'],772,1824,71,"['James Cagney', 'Pat O’Brien', 'Gloria Stuart', 'Frank McHugh', 'Dorothy Tree', 'Robert Barrat', 'Willard Robertson', 'Guinn ""Big Boy"" Williams', 'Howard Hickman', 'Maude Eburne', 'George Irving', 'Milton Kibbee', 'Sam McDaniel', 'Eddie Shubert', ""Fred 'Snowflake' Toones""]",['Warner Bros. Pictures'],https://letterboxd.com//film/here-comes-the-navy/
The House of Rothschild,1934,Alfred L. Werker,"['Drama', 'History']",nan,3.09,88,['USA'],English,['English'],699,1943,58,"['George Arliss', 'Boris Karloff', 'Loretta Young', 'C. Aubrey Smith', 'Robert Young', 'Arthur Byron', 'Helen Westley', 'Reginald Owen', 'Florence Arliss', 'Alan Mowbray', 'Nigel De Brulier', 'Joe Ray']",['20th Century Pictures'],https://letterboxd.com//film/the-house-of-rothschild/
